Longitude,Latitude,Elevation,Area,Farmland,Forest,Grassland,Shrubland,Wetland,Impervious,Bareland,Snow and ice,Clay,Sand,Silt,MAP,MAT,Radiation_intensity,DOC,RA_ligDOM,DA_ligDOM,DA_DOM,AImod,DBEC,NOSC,G
-105.224214,40.66453,1633,4773.093112,0.03640591,0.185817145,0.684947124,0.027278182,0.003067577,0.022425561,0.039953499,0.000105003,19,37,44,392,8.59166622,181.1666667,2.09,0.544367148,0.997678632,0.998798917,0.211510773,0.558486353,0.126121024,56.70555081
-111.580553,41.9502,2108,137.1877853,0.000183293,0.452571227,0.509457894,0.033344575,0,0.00082115,0.001744945,0.001876915,24,35,41,413,3.26666665,180.1666667,0.73,0.483514533,0.996109034,0.998146214,0.166358392,0.511804826,-0.055824029,61.89098483
-111.580553,41.9502,2108,137.1877853,0.000183293,0.452571227,0.509457894,0.033344575,0,0.00082115,0.001744945,0.001876915,24,35,41,413,3.26666665,180.1666667,0.94,0.46923141,0.995853012,0.997891051,0.160830248,0.508728482,-0.077270531,62.50221014
-111.580553,41.9502,2108,137.1877853,0.000183293,0.452571227,0.509457894,0.033344575,0,0.00082115,0.001744945,0.001876915,24,35,41,413,3.26666665,180.1666667,0.93,0.45527338,0.996055337,0.998152715,0.156092961,0.512296048,-0.046770307,61.63295375
-102.44859,39.7584,1190,4743.671075,0.019871261,0.000469519,0.966012874,0.000469519,0,0.000121166,0.013055661,0,21,34,45,430,10.42500019,190.25,3.6,0.488691114,0.996663957,0.998698377,0.184914448,0.55278554,0.120590186,56.86317971
-102.44859,39.7584,1190,4743.671075,0.019871261,0.000469519,0.966012874,0.000469519,0,0.000121166,0.013055661,0,21,34,45,430,10.42500019,190.25,4.76,0.479911833,0.997407934,0.998932653,0.185187469,0.557340095,0.126515493,56.69430844
-102.44859,39.7584,1190,4743.671075,0.019871261,0.000469519,0.966012874,0.000469519,0,0.000121166,0.013055661,0,21,34,45,430,10.42500019,190.25,4.97,0.472499333,0.997440549,0.999000818,0.18192483,0.555042849,0.111037547,57.1354299
-119.74305,50.76305,349,39932.10198,0.041708936,0.513797447,0.434982128,0.00333617,3.40426E-05,0.004228085,0.001913191,0,21,25,54,454,7.79999971,134.25,1.79,0.455045737,0.996933276,0.998360898,0.169244216,0.545398112,0.0889552,57.76477679
-119.74305,50.76305,349,39932.10198,0.041708936,0.513797447,0.434982128,0.00333617,3.40426E-05,0.004228085,0.001913191,0,21,25,54,454,7.79999971,134.25,1.93,0.457747607,0.997008781,0.998593694,0.170748968,0.546147122,0.089847426,57.73934835
-119.74305,50.76305,349,39932.10198,0.041708936,0.513797447,0.434982128,0.00333617,3.40426E-05,0.004228085,0.001913191,0,21,25,54,454,7.79999971,134.25,1.96,0.44397486,0.996740847,0.998326062,0.163573096,0.543274001,0.087097391,57.81772434
-105.4585063,40.012989,2463,6.584658253,0.000823337,0.662605372,0.296273076,0.003950509,0.000528749,0.034942744,0.000876212,0,19,37,44,459,4.67083311,176.4166667,2.71,0.600432724,0.994753072,0.997486032,0.204221024,0.517366605,0.009051786,60.04202409
-105.4585063,40.012989,2463,6.584658253,0.000823337,0.662605372,0.296273076,0.003950509,0.000528749,0.034942744,0.000876212,0,19,37,44,459,4.67083311,176.4166667,2.6,0.587308498,0.995737471,0.997996307,0.202278406,0.519394558,0.007908891,60.0745966
-105.4585063,40.012989,2463,6.584658253,0.000823337,0.662605372,0.296273076,0.003950509,0.000528749,0.034942744,0.000876212,0,19,37,44,459,4.67083311,176.4166667,2.46,0.578742514,0.995987088,0.998098043,0.201151512,0.520319221,0.000173281,60.29506148
-111.886928,41.720533,1350,2504.440919,0.174882355,0.047472048,0.591499454,0.000127998,0,0.168550239,0.017467906,0,21,34,45,459,8.33749962,191,0.58,0.463282408,0.996644443,0.998791611,0.165254744,0.523921481,-0.013996664,60.69890492
-111.886928,41.720533,1350,2504.440919,0.174882355,0.047472048,0.591499454,0.000127998,0,0.168550239,0.017467906,0,21,34,45,459,8.33749962,191,1.16,0.456262649,0.996748309,0.998788802,0.163351566,0.524980939,-0.012167408,60.64677112
-115.9897222,43.64805556,947,1903.595733,0.000293734,0.319597083,0.670107894,0,0,0.005057959,0.004943331,0,24,58,18,468,9.08333302,185.8333333,1.57,0.556101719,0.996720766,0.998510078,0.204584853,0.539940966,0.066456892,58.40597857
-115.9897222,43.64805556,947,1903.595733,0.000293734,0.319597083,0.670107894,0,0,0.005057959,0.004943331,0,24,58,18,468,9.08333302,185.8333333,0.87,0.525709108,0.997119226,0.997604506,0.196830737,0.544940656,0.07829237,58.06866747
83.626919,57.643974,58,3612.379866,0.000187096,0.598690329,0.348207456,0.00132618,0.049888568,5.50282E-06,0.001694869,0,20,38,42,478,-0.0125,113.8333333,12.557098,0.501459795,0.999197037,0.999645238,0.221231334,0.590950117,0.154714742,55.89062986
83.93003,57.32176,66,1359.340422,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0.004082871,0.000629896,1.14527E-05,21,25,54,480,0.16250002,117,9.242912906,0.45665793,0.998051106,0.999242703,0.188839253,0.573940128,0.133366042,56.4990678
83.93003,57.32176,66,1359.340422,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0.004082871,0.000629896,1.14527E-05,21,25,54,480,0.16250002,117,5.07688252,0.404245469,0.997420642,0.999138369,0.153061384,0.540465182,0.01937183,59.74790285
83.93003,57.32176,66,1359.340422,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0.004082871,0.000629896,1.14527E-05,21,25,54,480,0.16250002,117,7.7778511,0.414482809,0.998365754,0.999377171,0.174378384,0.578780761,0.14403575,56.19498113
