DOC,DEM,farmland,forest,grassland,shrub,wetland,tundra,impermeablelayer,bareland,icesnow,bio12,bio1,t_clay,t_sand,t_silt,solar,DA,DADOM
12.557098,58,0.000187096,0.598690329,0.348207456,0.00132618,0.049888568,0,5.50282E-06,0.001694869,0,478,-0.0125,20,38,42,113.8333333,0.999197036839774,0.99964523802175
9.242912906,66,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0,0.004082871,0.000629896,1.14527E-05,480,0.16250002,21,25,54,117,0.998051106201679,0.999242702707707
5.07688252,66,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0,0.004082871,0.000629896,1.14527E-05,480,0.16250002,21,25,54,117,0.997420641750182,0.999138368757935
7.7778511,66,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0,0.004082871,0.000629896,1.14527E-05,480,0.16250002,21,25,54,117,0.998365753580673,0.999377170693189
12.18306618,66,0.004185945,0.521639791,0.421692473,0.002261899,0.045495671,0,0.004082871,0.000629896,1.14527E-05,480,0.16250002,21,25,54,117,0.99879677126815,0.999513273400021
23.43974649,59,1.69977E-05,0.602660714,0.337563883,0.001444808,0.055310662,0,7.93228E-05,0.002923612,0,482,-0.05416666,20,38,42,115.75,0.999038302428231,0.999530719764779
7.28009551,59,1.69977E-05,0.602660714,0.337563883,0.001444808,0.055310662,0,7.93228E-05,0.002923612,0,482,-0.05416666,20,38,42,115.75,0.998518621767195,0.999451312707189
18.27081096,59,1.69977E-05,0.602660714,0.337563883,0.001444808,0.055310662,0,7.93228E-05,0.002923612,0,482,-0.05416666,20,38,42,115.75,0.999161402201507,0.999624415576888
24.08742899,58,0,0.546834488,0.365128363,0.00312407,0.084631487,0,0.000281591,0,0,498,-0.26666671,20,38,42,117.0833333,0.999067528169648,0.999574317565201
5.20974955,58,0,0.546834488,0.365128363,0.00312407,0.084631487,0,0.000281591,0,0,498,-0.26666671,20,38,42,117.0833333,0.997856179701264,0.999306208493747
8.7429549,58,0,0.546834488,0.365128363,0.00312407,0.084631487,0,0.000281591,0,0,498,-0.26666671,20,38,42,117.0833333,0.999094311825084,0.999630660443135
13.24985686,58,0,0.546834488,0.365128363,0.00312407,0.084631487,0,0.000281591,0,0,498,-0.26666671,20,38,42,117.0833333,0.998774508887352,0.999493285172527
15.3003725,58,0,0.512926076,0.385729304,0.00270245,0.094971022,0,0.003561069,0.000110079,0,510,-0.53333348,11,35,54,111.75,0.999079008647297,0.999561336718691
26.74712762,58,0,0.512926076,0.385729304,0.00270245,0.094971022,0,0.003561069,0.000110079,0,510,-0.53333348,11,35,54,111.75,0.99918234013844,0.999595380887565
31.06872143,63,0,0.512453968,0.386620722,0.002713727,0.09454007,0,0.003561422,0.00011009,0,510,-0.53333348,11,35,54,111.75,0.998542608887127,0.999319493304484
6.66203246,59,0,0.508942875,0.389566922,0.002686441,0.095131927,0,0.003561736,0.0001101,0,510,-0.53333348,11,35,54,111.75,0.997924121461633,0.999203904268194
42.59278623,54,0,0.730215128,0.209283135,0.001387582,0.05860958,0,0.000388943,0.000115632,0,511,-0.98750007,11,35,54,111.25,0.99921003478477,0.999590040891018
16.0539467,54,0,0.730215128,0.209283135,0.001387582,0.05860958,0,0.000388943,0.000115632,0,511,-0.98750007,11,35,54,111.25,0.999242822370707,0.999630846176218
20.34624738,54,0,0.730215128,0.209283135,0.001387582,0.05860958,0,0.000388943,0.000115632,0,511,-0.98750007,11,35,54,111.25,0.999090805652989,0.999545577323767
0.55,2772,0.008468324,0.271777887,0.577859404,2.30535E-05,4.6107E-05,0,0.002505149,0.061445302,0.077874773,511,0.80833334,19,37,44,182.5,0.996324801838768,0.995770237338109
0.67,2772,0.008468324,0.271777887,0.577859404,2.30535E-05,4.6107E-05,0,0.002505149,0.061445302,0.077874773,511,0.80833334,19,37,44,182.5,0.996790315728586,0.988079721741151
1.8,1040,0.326518595,0.160078625,0.316201108,0.041344591,0.001053313,0,0.153849982,0.000953787,0,514,13.07499981,21,36,43,162.4166667,0.996595888059583,0.99910447011842
5.73659046,47,1.54958E-05,0.524603501,0.273423881,0.001495347,0.196029969,0,0.004393067,3.87396E-05,0,520,-0.99166667,11,35,54,109.8333333,0.99808168096876,0.999237285228606
5.13307007,47,1.54958E-05,0.524603501,0.273423881,0.001495347,0.196029969,0,0.004393067,3.87396E-05,0,520,-0.99166667,11,35,54,109.8333333,0.998708457936962,0.999484428951511
11.52485013,47,1.54958E-05,0.524603501,0.273423881,0.001495347,0.196029969,0,0.004393067,3.87396E-05,0,520,-0.99166667,11,35,54,109.8333333,0.999067492224101,0.999585344151787
3.47983404,42,0,0.253218696,0.401788067,0.000737709,0.326032354,0,0.015913442,0.002292168,1.75645E-05,523,-1.11249995,9,79,12,113.4166667,0.997974481551995,0.999298514322022
8.865791039,51,0,0.226681032,0.405487751,0.000953777,0.361490365,0,0.000132469,0.005254606,0,524,-1.05416679,9,79,12,113.1666667,0.999000256494269,0.999525916538206
9.387749397,42,0,0.244110199,0.396678007,0.001031728,0.352842367,0,0.0001279,0.005209799,0,524,-1.02083349,9,79,12,113.1666667,0.999010357549804,0.999571102227133
4.69679027,42,0,0.25660781,0.484404793,0.000798363,0.225835956,0,0.030539321,0.001798254,1.55022E-05,525,-1.07083344,9,79,12,113.4166667,0.998668011352818,0.999501572698062
7.91071813,44,0,0.546756348,0.325163737,0.001942582,0.122950883,0,0.002787184,0.000345519,5.37473E-05,527,-1.00833344,9,79,12,108.0833333,0.998574175953521,0.999412812451242
0.8,1000,0.242745689,0.266792117,0.274493968,0.044179482,0.000383011,0,0.170240048,0.001165686,0,528,13.17083359,21,36,43,162.4166667,0.996491618429955,0.99902861162866
9.19047221,44,0,0.636874793,0.258990849,0.002197641,0.099540627,0,0.002160891,0.000183749,5.14498E-05,529,-0.92499995,9,79,12,110,0.998704266562128,0.999391792029266
25.39369573,44,0,0.633464363,0.260299448,0.002042022,0.101590589,0,0.002224345,0.000328182,5.10505E-05,529,-0.92499995,9,79,12,110,0.999152250803951,0.999564822334168
18.08343528,44,0,0.633464363,0.260299448,0.002042022,0.101590589,0,0.002224345,0.000328182,5.10505E-05,529,-0.92499995,9,79,12,110,0.999196070983232,0.999581701271523
2.1,720,0.437703765,0.035003585,0.281422059,6.76398E-06,0,0,0.145100851,0.100762977,0,529,8.7458334,24,35,41,171.3333333,0.997181180889428,0.999057046898324
3.58,720,0.437703765,0.035003585,0.281422059,6.76398E-06,0,0,0.145100851,0.100762977,0,529,8.7458334,24,35,41,171.3333333,0.997089884229307,0.999060180091023
2.44,720,0.437703765,0.035003585,0.281422059,6.76398E-06,0,0,0.145100851,0.100762977,0,529,8.7458334,24,35,41,171.3333333,0.997139217048175,0.998951614245969
1.2,2951,0,0.863189922,0.099871891,2.28767E-05,0.000335524,0,0,0.026285287,0.010294499,543,1.14999998,19,37,44,187.1666667,0.995620752473713,0.998014767868249
1.39,2951,0,0.863189922,0.099871891,2.28767E-05,0.000335524,0,0,0.026285287,0.010294499,543,1.14999998,19,37,44,187.1666667,0.995984186197934,0.99816915998336
1.16,2951,0,0.863189922,0.099871891,2.28767E-05,0.000335524,0,0,0.026285287,0.010294499,543,1.14999998,19,37,44,187.1666667,0.996551709338654,0.99839075688723
0.6,1200,0.076114644,0.653659058,0.236552778,0.015217999,0.003262174,0,0.013467764,0.001725583,0,546,11.22500038,21,36,43,165.75,0.996710695933616,0.998867221811309
3.32,3044,0.000678323,0.778089417,0.194343246,5.33512E-05,0.001661509,0,0.00461107,0.009092572,0.011470512,553,1.9083333,19,37,44,164.5833333,0.997653139528834,0.998667940132488
3.75,3044,0.000678323,0.778089417,0.194343246,5.33512E-05,0.001661509,0,0.00461107,0.009092572,0.011470512,553,1.9083333,19,37,44,164.5833333,0.997635307646741,0.998701370297853
7.48,33,0.079994587,0.391537188,0.190323059,0,0.003473542,0,0.333550295,0.001121329,0,561,9.0583334,6,73,21,114,0.996485468081976,0.996897072934289
8.39,33,0.079994587,0.391537188,0.190323059,0,0.003473542,0,0.333550295,0.001121329,0,561,9.0583334,6,73,21,114,0.996433316372525,0.996373039274071
6.37,33,0.079994587,0.391537188,0.190323059,0,0.003473542,0,0.333550295,0.001121329,0,561,9.0583334,6,73,21,114,0.996118804151216,0.987286158736676
0.81,1726,0.049698896,0.354190453,0.507913766,0.000596984,0,0,0.083771743,0.003828158,0,565,8.45833302,21,34,45,188.5833333,0.995641919134404,0.998111638341675
0.73,1726,0.049698896,0.354190453,0.507913766,0.000596984,0,0,0.083771743,0.003828158,0,565,8.45833302,21,34,45,188.5833333,0.995598108396883,0.998112321452181
1,1375,0.166492783,0.449087728,0.319061193,0.031225098,0.000706487,0,0.031668707,0.001758003,0,566,10.70416641,21,36,43,165.75,0.997289731134477,0.998897713122046
0.77,1663,0.042150827,0.324459868,0.482047838,0.000514945,0,0,0.146244263,0.004582261,0,567,8.80416679,21,34,45,186.3333333,0.995653499600401,0.997449536802487
0.74,1663,0.042150827,0.324459868,0.482047838,0.000514945,0,0,0.146244263,0.004582261,0,567,8.80416679,21,34,45,186.3333333,0.995192434271137,0.919509266785544
1.5,1657,0.282251125,0.391373475,0.265524222,0.034306133,0.000540899,0,0.024881371,0.001122776,0,587,8.48750019,21,36,43,174.5833333,0.996658940896489,0.998964898210258
1.2,1764,0.060313809,0.474147704,0.369251622,0.029762589,0.000295736,0,0.065316684,0.000911854,0,593,8.3125,21,36,43,181.5,0.997037499382789,0.99878135368658
1.7,1969,0.084623533,0.597759126,0.286204368,0.006331486,0.000154824,0,0.024071056,0.000855606,0,602,6.76249981,21,36,43,174,0.997177465891632,0.999285313199612
1,2409,0.06021435,0.570310071,0.356205514,0.011126565,0.000548147,0,0.001268101,0.000327252,0,619,5.92916679,21,36,43,179.9166667,0.996736983713422,0.998693780017145
3.0205,4,0.79825351,0.007630377,0.011592789,0,0.024792415,0,0.131987852,0.025743057,0,620,9.1916666,56,15,29,166.5833333,0.996787749625576,0.99926788082101
1.4,2367,0.018169363,0.777727035,0.194611169,0.00395518,0.00013048,0,0.005333377,7.33951E-05,0,621,5.10416698,22,41,37,184.5,0.99725324883268,0.998818949037125
